Wall time,Step,Value
1705997884.9440768,603,-209.51602172851562
1705997906.4159687,1972,-225.65414428710938
1705997941.3600652,4161,-222.90524291992188
1705997951.2799602,4795,-221.75628662109375
1705997953.2119365,4917,-222.31178283691406
1705997974.43204,6261,-217.82955932617188
1705997976.2481215,6376,-218.3085479736328
1705997990.7679577,7284,-222.58770751953125
1705997999.9439433,7831,-221.23046875
1705998008.0122092,8321,-222.25933837890625
1705998016.7879791,8859,-218.89407348632812
1705998028.5330014,9595,-211.76756286621094
1705998035.9542303,10062,-211.05599975585938
1705998040.7721405,10343,-210.69583129882812
1705998059.7079306,11505,-206.79544067382812
1705998070.5838683,12183,-204.1915283203125
1705998073.05234,12336,-198.9001007080078
1705998126.956345,15654,-203.06161499023438
1705998133.152142,16040,-205.52651977539062
1705998137.4362643,16306,-207.9204864501953
1705998142.0480318,16594,-207.61557006835938
1705998187.1337757,19454,-190.21629333496094
1705998276.6401258,25069,-152.71365356445312
1705998313.5815349,27381,-163.28123474121094
1705998319.0510902,27736,-163.85427856445312
1705998398.9481401,32697,-180.35838317871094
1705998433.7137663,34865,-165.9567108154297
1705998435.8600643,34989,-165.12110900878906
1705998455.635973,36197,-131.85952758789062
1705998479.680165,37661,-114.31401824951172
1705998486.6521368,38085,-120.09113311767578
1705998510.232178,39539,-125.3532943725586
1705998518.1325138,40016,-119.6134262084961
1705998550.0760415,41977,-87.86601257324219
1705998607.180043,45500,2.6186928749084473
1705998621.837393,46420,31.287466049194336
1705998627.3440266,46750,49.136192321777344
1705998674.7466228,49656,130.4373779296875
1705998694.0723302,50801,141.00833129882812
1705998714.8881693,52085,173.16818237304688
1705998720.3726285,52418,172.4330291748047
1705998745.9084146,53934,194.3149871826172
1705998760.9400115,54831,207.5782928466797
1705998773.9839914,55624,224.88865661621094
1705998799.1909266,57156,229.3698272705078
1705998803.3456655,57413,229.33592224121094
1705998826.184292,58782,222.95562744140625
1705998841.3074603,59707,204.609619140625
1705998864.1602178,61073,189.19061279296875
1705998864.256204,61074,189.13967895507812
1705998868.9201825,61348,191.32167053222656
1705998880.629332,62032,188.91558837890625
1705998897.1256194,63004,173.07823181152344
1705998901.1922376,63265,152.263427734375
1705998914.9959276,64116,133.79391479492188
1705998922.3999965,64573,128.39625549316406
1705998923.8998895,64658,126.53948211669922
1705998929.9959006,65036,114.51573181152344
1705998961.9159682,66993,76.05083465576172
1705998964.7559373,67167,74.440185546875
1705998968.0038826,67373,77.76378631591797
1705998976.5217845,67912,97.54761505126953
1705999002.759955,69567,91.85453796386719
1705999010.9769268,70096,99.72517395019531
1705999014.1956644,70298,100.96074676513672
1705999016.8558648,70462,99.59236145019531
1705999043.4438865,72132,125.9810562133789
1705999054.3400118,72817,139.8921661376953
1705999067.8602114,73685,137.22225952148438
1705999137.7178457,78122,186.2539520263672
1705999158.009838,79440,205.24171447753906
1705999159.5719967,79533,206.20985412597656
1705999291.582357,88018,288.3807373046875
1705999292.551921,88079,300.0754089355469
1705999319.3322444,89773,285.28912353515625
1705999348.6567984,91692,279.43377685546875
1705999353.4999495,92001,290.9709167480469
1705999388.1840315,94188,285.9884338378906
1705999427.168719,96718,314.2776794433594
1705999454.9039853,98524,341.68499755859375
1705999509.7560298,101995,349.2985534667969
1705999628.0425575,109640,369.2979431152344
1705999642.5614123,110587,367.7401428222656
1705999730.7998202,116263,390.1177062988281
1705999813.3681417,121502,472.10723876953125
1705999859.2161639,124411,482.3417663574219
1705999866.8799434,124899,481.1888732910156
1705999884.9244654,126070,481.6572570800781
1705999914.3888428,127949,500.6274719238281
1705999968.599969,131375,462.0559387207031
1705999971.1950934,131523,461.7113952636719
1705999978.4624646,131971,448.64306640625
1706000010.820057,134054,460.2379150390625
1706000053.383985,136765,434.78668212890625
1706000138.112526,142136,404.4543151855469
1706000161.7483,143621,374.90753173828125
1706000183.2238996,144979,351.3384094238281
1706000262.344554,150057,397.2398986816406
1706000310.0638447,153116,416.2306213378906
1706000326.8842819,154189,434.6831359863281
1706000480.6031775,163979,529.2125244140625
1706000530.0603755,167113,544.5829467773438
1706000561.816298,169082,554.5018920898438
1706000774.1488538,182395,526.6464233398438
1706000782.2722049,182888,529.7012329101562
1706000797.7920146,183858,537.6619873046875
1706000848.4769328,187004,534.1244506835938
1706000865.6839576,188036,496.7835693359375
1706000896.3439617,189992,520.259521484375
1706000902.2040045,190342,522.6786499023438
1706000933.9906592,192284,510.1259765625
1706001007.3596873,196812,488.816162109375
1706001057.468197,199894,471.9712219238281
1706001057.5561187,199895,468.1999206542969
1706001070.740218,200702,479.10650634765625
1706001095.8519943,202303,486.0067138671875
1706001138.0439768,204954,499.4085998535156
1706001189.2879312,208168,516.408447265625
1706001208.7361398,209347,515.6310424804688
1706001211.751228,209518,503.1636962890625
1706001240.7699323,211321,492.0555114746094
1706001255.0815215,212211,501.0977478027344
1706001281.208018,213801,497.1407470703125
1706001295.988111,214703,478.3179016113281
1706001315.800004,215930,461.146484375
1706001327.904049,216691,458.8282775878906
1706001394.246236,220874,532.0581665039062
1706001416.9720771,222297,558.4916381835938
1706001420.6518877,222525,557.3318481445312
1706001476.8647156,225988,559.3499755859375
1706001533.8278887,229567,623.4839477539062
1706001545.5560384,230302,615.2384033203125
1706001590.8400795,233098,602.4395141601562
1706001637.2602086,236019,623.239501953125
1706001641.2319942,236253,640.98291015625
1706001764.3250859,243920,686.9896850585938
1706001790.6439168,245519,697.0831298828125
1706001908.7545404,252834,662.0003662109375
1706001938.1200466,254647,661.9218139648438
1706001938.1631417,254648,667.7047729492188
1706001948.9119651,255318,667.442138671875
1706001967.8323605,256486,689.9692993164062
1706001988.8958724,257823,707.6666870117188
1706002014.4601789,259412,705.282470703125
1706002034.5924199,260643,686.690185546875
1706002062.4560623,262409,687.0882568359375
1706002176.439994,269531,702.0673828125
1706002222.939941,272409,727.9844360351562
1706002286.4159124,276296,695.2691650390625
1706002306.8920105,277573,699.4119873046875
1706002409.4902546,283922,719.788818359375
1706002467.617427,287482,692.8818969726562
1706002475.9718602,287964,649.4462890625
1706002519.2482104,290614,638.8036499023438
1706002519.2956395,290615,631.3209228515625
1706002762.0680377,305574,627.75830078125
1706002892.9278839,313590,672.3579711914062
1706002900.3342068,314055,670.2500610351562
1706003008.4798517,320798,737.2047119140625
1706003019.133205,321453,734.925537109375
1706003110.2159534,327086,831.0640258789062
1706003122.255705,327848,838.0531005859375
1706003186.1358542,331738,844.5307006835938
1706003205.8518555,332915,834.1148681640625
1706003252.7154121,335772,782.7407836914062
1706003290.7641268,338111,787.29248046875
1706003313.6918058,339486,787.8936767578125
1706003325.3117743,340198,790.4188842773438
1706003376.635913,343283,769.376220703125
1706003423.0265517,346106,740.0066528320312
1706003475.3749466,349333,701.1812744140625
1706003483.3799477,349814,703.0159301757812
1706003560.1240728,354560,701.639892578125
1706003579.8482065,355767,720.87646484375
1706003606.9426706,357432,722.1299438476562
1706003623.7080655,358441,704.8357543945312
1706003666.153397,361047,710.5947875976562
1706003713.9117768,363968,726.1275634765625
1706003735.774859,365306,729.0331420898438
1706003737.6959176,365414,707.5379028320312
1706003861.4960783,372979,723.2803344726562
1706003898.1120727,375205,722.7645874023438
1706003908.361358,375851,729.0272827148438
1706004054.2227194,384667,636.8203735351562
1706004085.1719093,386580,611.1483154296875
1706004126.295541,389127,634.5723876953125
1706004179.0124547,392337,650.6846923828125
1706004228.5958576,395386,684.926025390625
1706004241.0499575,396135,698.8932495117188
1706004247.403601,396517,707.6992797851562
1706004269.3253667,397836,706.075927734375
1706004301.3319662,399783,729.2219848632812
1706004443.990539,408429,741.2157592773438
1706004619.4465787,418572,880.1135864257812
1706004630.0803528,419184,873.698486328125
1706004703.2080307,423451,853.7950439453125
1706004725.2999446,424726,860.9447021484375
1706004795.3799844,428833,910.775390625
1706005059.0883439,444118,987.7132568359375
1706005074.3036516,444976,953.8672485351562
1706005135.86047,448521,989.130126953125
1706005165.3320842,450177,990.1002807617188
1706005170.5316718,450474,971.6837158203125
1706005300.5079424,457963,981.646240234375
1706005367.1401026,461792,946.04443359375
1706005381.751639,462630,928.3919677734375
1706005411.435564,464341,860.5739135742188
1706005411.4876676,464342,859.0672607421875
1706005502.419943,469599,887.7616577148438
1706005505.944106,469801,905.7904663085938
1706005578.728046,474010,885.7598266601562
1706005596.2119923,474997,886.2055053710938
1706005614.0679982,476014,873.5838012695312
1706005627.7639387,476797,868.6325073242188
1706005693.2690206,480572,836.3357543945312
1706005703.1643808,481139,837.3294067382812
1706005734.4880686,482961,838.0125122070312
1706005824.596056,488200,890.7941284179688
1706005836.6940691,488899,902.7743530273438
1706005887.089453,491772,898.9762573242188
1706006368.5118623,521252,998.1090087890625
1706006444.5841038,525546,996.7207641601562
1706006515.2281706,529531,995.5123901367188
1706006596.9414818,534200,972.6487426757812
1706006629.4400203,536046,926.6583251953125
1706006669.8480897,538379,908.9769897460938
1706006676.9569342,538793,915.4193115234375
1706006691.5239434,539604,926.967041015625
1706006699.2119503,540043,927.2600708007812
1706006740.3598397,542334,912.5275268554688
1706006797.2280126,545548,877.7637939453125
1706006976.104315,555704,878.8843994140625
1706007115.0759845,563563,781.1618041992188
1706007187.1518493,567643,801.6832885742188
1706007202.803228,568513,759.2844848632812
1706007353.8401237,576961,843.6924438476562
1706007378.3747106,578290,859.7188110351562
1706007613.64806,591422,882.7105712890625
1706007783.2361042,600887,939.4957275390625
1706007838.1485856,603958,979.3480834960938
1706007861.6119726,605256,994.9478149414062
1706008002.3119185,613045,971.1930541992188
1706008094.6279364,618110,963.144287109375
1706008272.868031,627947,910.3794555664062
1706008287.5360477,628770,878.140625
1706008296.1121705,629250,865.4756469726562
1706008517.6240265,641503,771.217041015625
1706008545.9935892,643059,781.02099609375
1706008602.4682314,646190,735.26708984375
1706008647.6960058,648689,766.1243896484375
1706008654.7443633,649061,753.272216796875
1706008763.808238,655039,756.1866455078125
1706008806.1241393,657396,749.4818115234375
1706008837.7280061,659099,774.8219604492188
1706008841.3840227,659282,749.4110717773438
1706008918.9921694,663518,790.41455078125
1706008928.995932,664069,774.5147705078125
1706008990.593022,667434,766.1495971679688
1706009001.6161392,668042,766.9939575195312
1706009244.6042318,681344,922.3848266601562
1706009315.5960763,685247,917.635498046875
1706009315.6881907,685248,915.3895263671875
1706009369.1081283,688160,963.949462890625
1706009386.5882192,689125,948.7822265625
1706009431.2121434,691564,945.5047607421875
1706009482.8402073,694408,1013.4462280273438
1706009587.0001795,700100,1061.9290771484375
1706009638.2319133,702881,1062.0445556640625
1706009646.3640044,703314,1076.78955078125
1706009702.123948,706340,1094.3302001953125
1706009729.4919403,707858,1096.141845703125
1706009763.2163026,709847,1129.704833984375
1706009862.7173681,715778,1078.4437255859375
1706009893.2779825,717611,1019.6024780273438
1706009901.693234,718122,1009.4940185546875
1706009925.6319768,719565,1021.284423828125
1706009968.74829,722144,1079.941162109375
1706009984.2735598,723074,1092.8353271484375
1706010003.0840995,724185,1090.270263671875
1706010018.0320425,725077,1092.0181884765625
1706010053.8639915,727195,1124.210693359375
1706010122.7401016,730974,1105.1986083984375
1706010165.9618614,733316,1096.64208984375
1706010188.199412,734512,1093.333251953125
1706010214.7480197,735958,1086.1162109375
1706010310.7082431,741188,1119.96728515625
1706010322.3919463,741829,1118.236328125
