Wall time,Step,Value
1706006444.5841339,525546,27.0
1706006515.2281795,529531,30.0
1706006596.9415479,534200,32.0
1706006629.4400644,536046,33.0
1706006669.8481693,538379,34.0
1706006676.956982,538793,33.0
1706006691.5239925,539604,32.0
1706006699.2119973,540043,32.0
1706006740.3603458,542334,33.0
1706006797.2281451,545548,34.0
1706006976.1043327,555704,33.0
1706007115.0761013,563563,35.0
1706007187.1518784,567643,33.0
1706007202.8032756,568513,34.0
1706007353.840141,576961,30.0
1706007378.37477,578290,31.0
1706007613.6481123,591422,31.0
1706007783.2361674,600887,29.0
1706007838.1486363,603958,28.0
1706007861.6120198,605256,27.0
1706008002.3119674,613045,30.0
1706008094.6279662,618110,33.0
1706008272.8680482,627947,34.0
1706008287.5360973,628770,34.0
1706008296.112188,629250,34.0
1706008517.6240766,641503,36.0
1706008545.9936376,643059,35.0
1706008602.4683454,646190,33.0
1706008647.696082,648689,31.0
1706008654.7443805,649061,33.0
1706008763.8082554,655039,32.0
1706008806.1241856,657396,33.0
1706008837.7281191,659099,34.0
1706008841.3840542,659282,34.0
1706008918.9922001,663518,32.0
1706008928.995963,664069,33.0
1706008990.5930727,667434,34.0
1706009001.6161575,668042,33.0
1706009244.604249,681344,28.0
1706009315.5961075,685247,28.0
1706009315.688208,685248,28.0
1706009369.108159,688160,24.0
1706009386.5882277,689125,24.0
1706009431.2121735,691564,22.0
1706009482.8402245,694408,21.0
1706009587.0001967,700100,21.0
1706009638.2319431,702881,18.0
1706009646.364034,703314,17.0
1706009702.1240697,706340,17.0
1706009729.4919696,707858,16.0
1706009763.2163322,709847,15.0
1706009862.717399,715778,18.0
1706009893.2780564,717611,19.0
1706009901.6932688,718122,20.0
1706009925.6320264,719565,20.0
1706009968.7483075,722144,20.0
1706009984.2736087,723074,19.0
1706010003.0841174,724185,18.0
1706010018.0320885,725077,18.0
1706010053.8640413,727195,18.0
1706010122.740228,730974,22.0
1706010165.9618914,733316,25.0
1706010188.1994622,734512,24.0
1706010214.748069,735958,22.0
1706010310.7082603,741188,22.0
1706010322.3919764,741829,22.0
1706010351.3404353,743407,23.0
1706010373.7922451,744632,24.0
1706010382.3066633,745102,24.0
1706010460.9399114,749403,23.0
1706010472.5360432,750036,23.0
1706010476.232334,750229,23.0
1706010521.1047907,752705,24.0
1706010556.5059204,754643,25.0
1706010576.8667574,755768,25.0
1706010642.5563717,759351,20.0
1706010682.8087204,761503,23.0
1706010821.2399771,768980,25.0
1706010979.7209947,777599,26.0
1706011031.548905,780383,27.0
1706011138.3736436,786193,26.0
1706011146.6042051,786635,25.0
1706011254.1479487,792481,24.0
1706011438.4804075,802353,20.0
1706011459.1707246,803488,20.0
1706011527.942064,807201,23.0
1706011648.2162783,813652,24.0
1706011659.7680054,814267,25.0
1706011710.5181255,816967,27.0
1706011731.1974754,818075,28.0
1706011793.824254,821419,30.0
1706011878.346523,825957,31.0
1706011949.5281336,829830,32.0
1706012100.0445468,837903,27.0
1706012188.764146,842659,24.0
1706012286.3120968,847921,23.0
1706012508.860134,859769,18.0
1706012516.8959563,860192,17.0
1706012570.2881382,862984,19.0
1706012621.403988,865730,19.0
1706012625.7642293,865958,19.0
1706012633.8572183,866388,20.0
1706012690.5640798,869420,23.0
1706012694.3761182,869607,23.0
1706012702.5366664,870036,23.0
1706012707.095923,870267,23.0
1706012747.9048066,872471,23.0
1706012758.792047,873050,22.0
1706012879.0159209,879474,26.0
1706013059.8148766,889174,27.0
1706013084.276331,890470,25.0
1706013180.8281052,895610,24.0
1706013215.4159658,897414,23.0
1706013248.7827148,899191,23.0
1706013345.019843,904317,21.0
1706013368.4633474,905544,23.0
1706013382.0121076,906245,24.0
1706013413.1241164,907836,25.0
1706013480.5347614,911395,24.0
1706013604.9731083,917996,26.0
1706013621.4879098,918868,26.0
1706013829.6920369,929835,22.0
1706014033.2625723,940585,20.0
1706014121.4403303,945181,22.0
1706014175.920104,948031,22.0
1706014230.1001344,950918,22.0
1706014257.9228082,952357,20.0
1706014280.7243135,953520,19.0
1706014290.4308,954026,20.0
1706014346.4911222,956977,19.0
1706014402.9959836,959931,21.0
1706014469.3811471,963413,20.0
1706014530.1214259,966596,22.0
1706014584.972193,969484,21.0
1706014611.0677986,970837,19.0
1706014775.043984,979419,16.0
1706014823.0896757,981929,14.0
1706014941.7884595,988155,20.0
1706014941.8475766,988156,20.0
1706014946.4119685,988387,19.0
1706014986.4092185,990475,22.0
1706015004.7562165,991437,22.0
1706015071.0611975,994924,23.0
1706015247.1898618,1004089,20.0
1706015325.1481714,1008074,21.0
1706015366.9080253,1010264,20.0
1706015427.7692018,1013463,18.0
1706015501.5559354,1017337,18.0
1706015515.3240945,1018057,20.0
1706015565.3559327,1020667,19.0
1706015636.9477468,1024392,15.0
1706015723.908145,1028953,12.0
1706015826.300019,1034333,13.0
1706015835.6361232,1034820,13.0
1706015853.7999463,1035763,13.0
1706015953.6962028,1040990,14.0
1706016129.3000038,1050063,14.0
1706016149.244148,1051094,15.0
1706016169.8002868,1052158,15.0
1706016182.1558714,1052781,16.0
1706016203.7160373,1053912,16.0
1706016225.29498,1055029,16.0
1706016244.8002484,1056050,14.0
1706016373.880151,1062683,13.0
1706016460.2921703,1067146,13.0
1706016527.0809577,1070511,14.0
1706016559.2683134,1072150,16.0
1706016725.6000264,1080707,15.0
1706016735.9163513,1081245,15.0
1706016738.7843187,1081380,15.0
1706016783.0959842,1083665,15.0
1706016796.0490324,1084340,16.0
1706016864.7653208,1087862,14.0
1706016882.961803,1088792,14.0
1706016998.1546237,1094722,12.0
1706017016.504041,1095699,12.0
1706017016.59995,1095700,12.0
1706017039.703944,1096875,13.0
1706017048.7560852,1097334,13.0
1706017207.5443141,1105534,11.0
1706017281.3839486,1109333,9.0
1706017456.438475,1118313,9.0
1706017470.8155859,1119035,9.0
1706017550.3282037,1123079,10.0
1706017603.9674509,1125833,11.0
1706017634.1082022,1127392,11.0
1706017782.2193828,1134966,13.0
1706017834.205038,1137599,15.0
1706017866.215919,1139250,15.0
1706017912.6482067,1141630,15.0
1706017974.4121888,1144762,20.0
1706017992.216176,1145659,20.0
1706018088.808127,1150547,20.0
1706018126.6003044,1152479,19.0
1706018167.008965,1154524,21.0
1706018236.665368,1158096,21.0
1706018291.472286,1160912,20.0
1706018509.9961498,1172037,19.0
1706018519.0001166,1172491,18.0
1706018585.3402236,1175903,18.0
1706018648.0883963,1179160,14.0
1706018695.5519252,1181649,14.0
1706018740.4201205,1184027,13.0
1706018978.9598794,1196516,14.0
1706019166.8800557,1206413,18.0
1706019192.663965,1207758,20.0
1706019239.798396,1210218,19.0
1706019268.0398438,1211725,19.0
1706019380.5200865,1217511,25.0
1706019470.8434806,1222228,24.0
1706019608.6448326,1229367,23.0
1706019681.876034,1233133,22.0
1706019783.5349221,1238429,20.0
1706019886.3599913,1243770,20.0
1706019932.2400196,1246166,19.0
1706020087.9919298,1254228,11.0
1706020106.331729,1255175,11.0
1706020128.507883,1256313,11.0
1706020137.902065,1256798,11.0
1706020150.4481359,1257449,12.0
1706020315.3199944,1265976,12.0
1706020561.9378207,1278731,11.0
1706020571.6387205,1279217,10.0
1706020613.9199865,1281415,10.0
1706020656.483833,1283626,11.0
1706020969.9280071,1299720,15.0
1706020991.6444101,1300836,13.0
1706021123.7688007,1307618,10.0
1706021184.595865,1310742,9.0
1706021202.5639873,1311657,9.0
1706021296.6962132,1316474,8.0
1706021314.6198783,1317395,8.0
1706021385.8839624,1321039,7.0
1706021437.1679604,1323677,7.0
1706021512.370228,1327599,6.0
1706021580.308145,1331070,8.0
1706021724.2600348,1338421,10.0
1706021774.1238384,1340989,11.0
1706021916.6166599,1348342,12.0
1706021991.5752528,1352184,12.0
1706022055.6359606,1355421,15.0
1706022065.304149,1355922,14.0
1706022249.2765007,1365288,13.0
1706022261.7001765,1365907,11.0
1706022297.0880675,1367708,12.0
1706022319.020163,1368815,12.0
1706022384.9976707,1372179,10.0
1706022573.1520097,1381779,11.0
1706022587.0881858,1382485,12.0
1706022612.6873262,1383805,12.0
1706022849.6717908,1395876,16.0
1706022888.2350273,1397811,17.0
1706022924.7160258,1399655,17.0
1706022924.7714615,1399656,17.0
1706022939.2719584,1400399,17.0
1706022981.2097328,1402524,17.0
1706023031.659843,1405049,17.0
1706023089.8326392,1407958,17.0
1706023115.9721422,1409261,19.0
1706023124.9281135,1409720,20.0
1706023173.8141916,1412188,18.0
1706023235.8001273,1415342,16.0
1706023244.0880048,1415758,16.0
1706023273.8074389,1417302,15.0
1706023295.0298336,1418391,14.0
1706023404.1120021,1423854,17.0
1706023450.3300881,1426205,14.0
1706023570.6561377,1432288,10.0
1706023625.526152,1435069,10.0
1706023673.7345808,1437508,10.0
1706023711.9960885,1439421,11.0
1706023721.0959535,1439884,11.0
1706023916.5760202,1449709,10.0
1706023920.683695,1449907,11.0
1706023932.8161037,1450505,12.0
1706023969.4480364,1452355,12.0
1706024071.699847,1457522,10.0
1706024072.0440416,1457532,10.0
1706024081.2433424,1457991,10.0
1706024090.1842556,1458456,10.0
1706024099.848045,1458933,10.0
1706024160.4433916,1461980,9.0
1706024420.0713696,1474976,7.0
1706024502.452134,1479111,6.0
1706024611.0401864,1484527,5.0
1706024756.2879217,1491719,5.0
1706024794.136108,1493581,5.0
1706024858.5201519,1496792,5.0
1706024884.9632568,1498103,6.0
1706024925.2239306,1500122,6.0
1706025125.8801606,1510063,8.0
1706025214.1518695,1514458,9.0
1706025223.3665445,1514920,9.0
1706025432.29201,1525287,11.0
1706025594.3598373,1533337,9.0
1706025674.0080228,1537281,10.0
1706025722.759952,1539681,9.0
1706025812.707309,1544130,7.0
1706025821.7120335,1544573,7.0
1706025876.4441075,1547265,7.0
1706025887.1202714,1547780,6.0
1706025915.8438687,1549197,7.0
1706026135.0640464,1560009,9.0
1706026146.6321015,1560555,10.0
1706026166.4197483,1561532,10.0
1706026241.055937,1565175,8.0
1706026250.3199673,1565637,8.0
1706026260.2446594,1566130,8.0
1706026261.7049706,1566197,8.0
1706026480.004149,1576948,13.0
1706026568.1799397,1581293,12.0
1706026578.7482512,1581817,12.0
1706026617.9933236,1583761,10.0
1706026638.815826,1584787,10.0
1706026673.37793,1586526,9.0
1706026720.4682238,1588875,9.0
1706026783.0044608,1591976,10.0
1706026878.848118,1596665,12.0
1706026996.0161545,1602427,13.0
1706027030.2880857,1604113,12.0
1706027060.252898,1605592,12.0
1706027083.6921697,1606732,12.0
1706027255.8526878,1615214,10.0
1706027307.3450975,1617733,9.0
1706027474.16569,1625867,10.0
1706027474.225475,1625868,10.0
1706027497.5963068,1626995,11.0
1706027506.2038226,1627412,10.0
1706027522.0783167,1628195,9.0
1706027570.924099,1630630,8.0
1706027728.995958,1638318,10.0
1706027784.1200879,1641038,10.0
1706027966.1600735,1649904,9.0
1706028037.3425198,1653341,9.0
1706028047.9479809,1653861,10.0
1706028163.5900278,1659457,9.0
1706028209.8334696,1661676,9.0
1706028322.4581163,1667100,10.0
1706028378.4522426,1669771,9.0
1706028396.0192382,1670618,10.0
1706028420.0359583,1671784,10.0
1706028439.5762095,1672728,11.0
1706028766.5236385,1688417,11.0
1706028798.0890381,1689926,12.0
1706028811.3034914,1690571,12.0
1706028866.5922084,1693247,12.0
1706028906.3841407,1695165,11.0
1706028927.780145,1696194,11.0
1706029113.0681994,1705108,10.0
1706029283.53995,1713275,11.0
1706029544.1332712,1725738,10.0
1706029842.6960258,1739985,10.0
1706029906.2882023,1742991,9.0
1706030014.0446603,1748160,7.0
1706030147.8505707,1754487,7.0
1706030337.1162322,1763479,8.0
1706030440.6161904,1768472,7.0
1706030508.0800405,1771704,7.0
1706030595.9544733,1775916,7.0
1706030689.1722877,1780365,7.0
1706030709.4637904,1781339,7.0
1706030727.613515,1782219,7.0
1706030727.673058,1782220,6.0
1706030833.1685507,1787237,5.0
1706030902.1880927,1790512,4.0
1706030952.9343257,1792899,6.0
1706031326.5491657,1810674,6.0
1706031601.2039552,1823666,7.0
1706031680.451999,1827408,8.0
1706031690.2163122,1827873,8.0
1706031695.3600552,1828101,9.0
1706032287.636176,1856081,10.0
1706032337.2499044,1858425,9.0
1706032358.436085,1859431,9.0
1706032430.408343,1862816,10.0
1706032543.9802847,1868132,10.0
1706032595.1360712,1870482,12.0
1706032643.9956763,1872762,13.0
1706032686.8802843,1874785,13.0
1706032744.2479942,1877490,11.0
1706032753.0189958,1877893,11.0
1706032981.668156,1888606,13.0
1706033030.047927,1890850,13.0
1706033222.1480553,1899847,16.0
1706033241.33216,1900737,17.0
1706033251.3653188,1901203,17.0
1706033466.1720386,1911262,11.0
1706033496.672153,1912697,12.0
1706033512.163623,1913426,12.0
1706033654.6158645,1920004,11.0
1706033696.3532426,1921943,10.0
1706033715.0965881,1922816,10.0
1706033734.8880281,1923745,10.0
1706033919.1600182,1932308,7.0
1706034220.1081736,1946283,6.0
1706034258.3062506,1948059,5.0
1706034342.2708983,1951904,3.0
1706034357.0121346,1952582,3.0
1706034386.448825,1953944,3.0
1706034434.0640697,1956166,4.0
1706034482.9800038,1958435,6.0
1706034545.7151737,1961355,6.0
1706034759.9040534,1971294,7.0
1706034773.7042592,1971924,6.0
1706034843.1334603,1975136,8.0
1706034913.5922074,1978374,8.0
1706034913.6622446,1978375,8.0
1706034945.6088653,1979848,8.0
1706035052.6520498,1984740,7.0
1706035153.8763256,1989385,7.0
1706035185.2838311,1990810,7.0
1706035207.5240023,1991831,6.0
1706035305.9158602,1996377,5.0
1706035375.8881161,1999584,5.0
1706035385.5320182,2000030,5.0
1706035433.4362714,2002233,5.0
1706035453.2619016,2003155,5.0
1706035475.1282878,2004154,5.0
1706035759.8388734,2017190,6.0
1706035904.6401458,2023811,8.0
1706036076.4119682,2031698,11.0
1706036112.7119477,2033339,11.0
1706036150.3191712,2035051,12.0
1706036255.2041707,2039874,13.0
1706036403.192019,2046614,13.0
1706036417.2122495,2047249,13.0
1706036417.3240407,2047250,14.0
1706036666.6646447,2058605,10.0
1706036690.4635103,2059709,10.0
1706036774.752786,2063561,9.0
1706036817.8300529,2065525,8.0
1706036858.9840086,2067383,8.0
1706036870.197397,2067897,7.0
1706036950.580171,2071553,6.0
1706036980.3624237,2072893,5.0
1706037097.1281843,2078122,4.0
1706037143.2399805,2080208,4.0
1706037186.9722276,2082200,3.0
1706037230.3042266,2084190,3.0
1706037359.3721435,2090039,4.0
1706037448.8962426,2094080,6.0
1706037585.2195835,2100220,9.0
